year;month;mean_temperature
1979;1;-0,1
1979;2;-0,8
1979;3;-0,4
1979;4;-0,4
1979;5;2,6
1979;6;7,75
1979;7;15,1
1979;8;13,5666667
1979;9;9,55
1979;10;4,375
1979;11;0,7666667
1979;12;-1,3
1980;1;NA
1980;2;-1,05
1980;3;-1
1980;4;-0,7333333
1980;5;4,3
1980;6;12,4
1980;7;14,7
1980;8;13,7
1980;9;11,15
1980;10;6,4333333
1980;11;0,675
1980;12;NA
1981;1;NA
1981;2;-1,2
1981;3;-1,2
1981;4;NA
1981;5;-0,6
1981;6;9,6666667
1981;7;13,55
1981;8;12,55
1981;9;7,9333333
1981;10;5,2333333
1981;11;1,8333333
1981;12;-0,6
1982;1;-0,7
1982;2;-0,5
1982;3;-0,5
1982;4;-0,3
1982;5;4
1982;6;6,1
1982;7;12,55
1982;8;11,5666667
1982;9;7,9666667
1982;10;3,5333333
1982;11;1,5666667
1982;12;0,2
1983;1;NA
1983;2;-0,6
1983;3;-0,7
1983;4;-0,35
1983;5;4,5
1983;6;11,6
1983;7;14,3333333
1983;8;12,85
1983;9;7,5666667
1983;10;5,4
1983;11;2,3
1983;12;NA
1984;1;-0,6
1984;2;NA
1984;3;-0,7
1984;4;-0,4
1984;5;7,6666667
1984;6;13
1984;7;14,4
1984;8;14,4666667
1984;9;9,1
1984;10;5,275
1984;11;3
1984;12;-0,9
1985;1;NA
1985;2;-0,8
1985;3;-0,8
1985;4;-0,85
1985;5;0,1666667
1985;6;10,1333333
1985;7;14,2333333
1985;8;14,125
1985;9;10,4333333
1985;10;3,4333333
1985;11;1,9
1985;12;NA
1986;1;-0,5
1986;2;-0,6
1986;3;-0,55
1986;4;-0,5
1986;5;3,6333333
1986;6;12,6
1986;7;16,1333333
1986;8;10,7666667
1986;9;8
1986;10;4,7333333
1986;11;1,5
1986;12;-0,9
1987;1;-0,2
1987;2;-0,2
1987;3;-0,05
1987;4;-0,8666667
1987;5;4,2
1987;6;6,7666667
1987;7;11,45
1987;8;11,55
1987;9;9,4666667
1987;10;6,8666667
1987;11;NA
1987;12;NA
1988;1;-0,6
1988;2;-1
1988;3;-1,2
1988;4;-0,7
1988;5;5,4
1988;6;10
1988;7;15,6666667
1988;8;14,6
1988;9;12,3
1988;10;5,5
1988;11;0,1
1988;12;NA
1989;1;-1
1989;2;-1
1989;3;-0,8
1989;4;-0,6
1989;5;4,7
1989;6;10,2
1989;7;13,95
1989;8;14,1333333
1989;9;10,15
1989;10;5,8
1989;11;NA
1989;12;NA
1990;1;-1,4
1990;2;-1
1990;3;-0,1
1990;4;-0,8
1990;5;3,75
1990;6;8,2333333
1990;7;14,2666667
1990;8;13,7666667
1990;9;10,9
1990;10;6,1
1990;11;1,5
1990;12;NA
1991;1;-1,4
1991;2;-1,4
1991;3;-1,5
1991;4;-0,8
1991;5;2,95
1991;6;8,9
1991;7;13,375
1991;8;13,8333333
1991;9;5,4666667
1991;10;3,5333333
1991;11;2,6
1991;12;0,8
1992;1;NA
1992;2;-1
1992;3;NA
1992;4;7
1992;5;NA
1992;6;8,2
1992;7;11,05
1992;8;9,9
1992;9;9
1992;10;4,675
1992;11;1
1992;12;NA
1993;1;NA
1993;2;NA
1993;3;NA
1993;4;-1,3
1993;5;4,8666667
1993;6;10
1993;7;14,55
1993;8;13,6333333
1993;9;7,8333333
1993;10;2,95
1993;11;-0,65
1993;12;NA
1994;1;NA
1994;2;NA
1994;3;-1,2
1994;4;-0,2
1994;5;NA
1994;6;10,6666667
1994;7;14,2333333
1994;8;14,6
1994;9;9,625
1994;10;4,3
1994;11;1,05
1994;12;NA
1995;1;NA
1995;2;NA
1995;3;NA
1995;4;NA
1995;5;NA
1995;6;9,8
1995;7;12,175
1995;8;8,7
1995;9;8,35
1995;10;6,3
1995;11;0,4
1995;12;-1
1996;1;NA
1996;2;-1,1
1996;3;-1,2
1996;4;-0,9
1996;5;NA
1996;6;7,4333333
1996;7;10,85
1996;8;14,4
1996;9;8
1996;10;4,45
1996;11;NA
1996;12;NA
1997;1;NA
1997;2;NA
1997;3;NA
1997;4;NA
1997;5;NA
1997;6;10,975
1997;7;15,5666667
1997;8;13,3333333
1997;9;8,55
1997;10;4,3
1997;11;-0,9
1998;12;NA
1998;1;NA
1998;2;-1,1
1998;3;-0,8
1998;4;-0,5
1998;5;NA
1998;6;8,5666667
1998;7;15,1
1998;8;12,4
1998;9;9,4333333
1998;10;5,6
1998;11;2,55
1998;12;NA
1999;1;-1,2
1999;2;-1
1999;3;-0,6
1999;4;-0,3
1999;5;1,6
1999;6;7,6
1999;7;15,625
1999;8;11,9666667
1999;9;8,4333333
1999;10;5,5666667
1999;11;1,8
1999;12;NA
2000;1;NA
2000;2;NA
2000;3;-0,8
2000;4;-0,3
2000;5;5,3666667
2000;6;10,5
2000;7;16,35
2000;8;15,775
2000;9;10,7
2000;10;6,5
2000;11;3
2000;12;1
2001;1;NA
2001;2;NA
2001;3;NA
2001;4;-0,8
2001;5;2,5
2001;6;11,5
2001;7;13,97
2001;8;10
2001;9;7,5
2001;10;4,75
2001;11;0,5
2001;12;-1,4
2002;1;-1,4
2002;2;-1,3
2002;3;-1,2
2002;4;-0,5
2002;5;1,5
2002;6;9,1666667
2002;7;14,725
2002;8;11,8333333
2002;9;8,1333333
2002;10;3,8666667
2002;11;0,5
2002;12;NA
2003;1;-1
2003;2;-1
2003;3;-0,7
2003;4;-0,7
2003;5;4,3666667
2003;6;9,6666667
2003;7;17,3333333
2003;8;16
2003;9;9,725
2003;10;4,8
2003;11;2,5
2003;12;2
2004;1;NA
2004;2;-1
2004;3;-1,37
2004;4;-1,19
2004;5;2,7
2004;6;11,1333333
2004;7;15,9
2004;8;15,1333333
2004;9;9,7333333
2004;10;5,2
2004;11;3,2
2004;12;NA
2005;1;NA
2005;2;NA
2005;3;NA
2005;4;-0,6
2005;5;NA
2005;6;10,125
2005;7;16,5
2005;8;14,8666667
2005;9;10,05
2005;10;4,925
2005;11;3,5
2005;12;1,8
2006;1;NA
2006;2;0,1
2006;3;0
2006;4;-0,7
2006;5;5,7
2006;6;11,3666667
2006;7;12,4314444
2006;8;12,4429774
2006;9;10,5796825
2006;10;5,9093889
2006;11;1,1233636
2006;12;NA
2007;1;NA
2007;2;NA
2007;3;-0,2987778
2007;4;NA
2007;5;5,4
2007;6;12,21
2007;7;13,305
2007;8;14,5281667
2007;9;8,7844444
2007;10;6,13
2007;11;3,607
2007;12;0,7336923
2008;1;NA
2008;2;NA
2008;3;-0,613
2008;4;NA
2008;5;4,5
2008;6;11,7993333
2008;7;14,3674762
2008;8;9,8855
2008;9;8,8674957
2008;10;4,2981875
2008;11;2,13955
2008;12;0,813
2009;1;NA
2009;2;0
2009;3;-0,6042308
2009;4;-0,5210556
2009;5;8,233
2009;6;8,426
2009;7;13,291
2009;8;14,8175667
2009;9;9,0223333
2009;10;2,9965
2009;11;1,588
2009;12;1,324
