"year";"species";"region";"area";"code";"sample";"N.sqmeter"
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"II";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-1";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-2";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-3";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-4";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-5";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VI";40
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-17";20
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-18";50
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-19";20
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"III";10
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-13";30
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-14";10
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-15";20
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-16";20
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"IV";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-23";"NA"
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-24";"NA"
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-25";"NA"
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VII";30
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-20";"NA"
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-21";"NA"
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-22";"NA"
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"I";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-9";40
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-10";60
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-11";10
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VIII";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-6";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-7";0
2002;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-8";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"II";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-1";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-2";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-3";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-4";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-5";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VI";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-17";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-18";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-19";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"III";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-13";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-14";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-15";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-16";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"IV";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-23";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-24";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-25";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VII";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-20";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-21";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-22";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"I";10
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-9";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-10";30
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-11";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VIII";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-6";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-7";0
2003;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-8";20
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"II";0
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-1";0
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-2";0
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-3";0
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-4";0
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-5";0
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VI";"NA"
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-17";0
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-18";20
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-19";10
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"III";10
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-13";10
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-14";0
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-15";0
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-16";10
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"IV";"NA"
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-23";30
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-24";0
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-25";0
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VII";"NA"
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-20";0
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-21";0
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-22";10
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"I";10
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-9";0
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-10";10
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-11";10
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VIII";"NA"
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-6";0
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-7";0
2004;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-8";20
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"II";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-1";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-2";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-3";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-4";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-5";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VI";"NA"
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-17";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-18";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-19";10
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"III";10
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-13";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-14";10
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-15";10
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-16";10
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"IV";"NA"
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-23";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-24";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-25";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VII";"NA"
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-20";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-21";10
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-22";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"I";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-9";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-10";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-11";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VIII";"NA"
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-6";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-7";0
2005;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-8";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"II";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-1";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-2";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-3";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-4";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-5";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VI";"NA"
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-17";10
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-18";30
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-19";30
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"III";20
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-13";20
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-14";30
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-15";30
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-16";30
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"IV";"NA"
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-23";10
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-24";10
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-25";10
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VII";"NA"
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-20";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-21";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-22";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"I";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-9";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-10";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-11";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"VIII";"NA"
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-6";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-7";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"M-8";0
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya101";0
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya102";0
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya103";0
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya104";10
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya105";0
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya106";0
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya107";0
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya108";0
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya109";0
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya110";10
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya201";0
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya202";0
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya203";20
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya204";0
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya205";10
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya206";20
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya207";10
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya208";10
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya209";10
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya210";10
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya301";0
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya302";10
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya303";30
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya304";10
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya305";10
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya306";20
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya307";20
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya308";10
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya309";0
2004;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya310";10
2005;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya01";100
2005;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya02";0
2005;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya03";0
2005;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya04";0
2005;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya05";0
2005;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya06";0
2005;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya07";0
2005;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya08";0
2005;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya09";0
2005;"Cerastoderma edule";"East Murman";"Yarnyshnaya";"YA";"Ya10";0
2005;"Cerastoderma edule";"East Murman";"Shelpino";"SH";"Sh01";0
2005;"Cerastoderma edule";"East Murman";"Shelpino";"SH";"Sh02";0
2005;"Cerastoderma edule";"East Murman";"Shelpino";"SH";"Sh03";0
2005;"Cerastoderma edule";"East Murman";"Shelpino";"SH";"Sh04";0
2005;"Cerastoderma edule";"East Murman";"Shelpino";"SH";"Sh05";0
2005;"Cerastoderma edule";"East Murman";"Shelpino";"SH";"Sh06";0
2005;"Cerastoderma edule";"East Murman";"Shelpino";"SH";"Sh07";0
2005;"Cerastoderma edule";"East Murman";"Shelpino";"SH";"Sh08";0
2005;"Cerastoderma edule";"East Murman";"Shelpino";"SH";"Sh09";10
2005;"Cerastoderma edule";"East Murman";"Shelpino";"SH";"Sh10";0
2006;"Cerastoderma edule";"Kola bay";"Pala";"PL";"Pala01";0
2006;"Cerastoderma edule";"Kola bay";"Pala";"PL";"Pala02";88
2006;"Cerastoderma edule";"Kola bay";"Pala";"PL";"Pala03";44
2006;"Cerastoderma edule";"Kola bay";"Pala";"PL";"Pala04";66
2006;"Cerastoderma edule";"Kola bay";"Pala";"PL";"Pala05";176
2006;"Cerastoderma edule";"Kola bay";"Pala";"PL";"Pala06";110
2006;"Cerastoderma edule";"Kola bay";"Pala";"PL";"Pala07";66
2006;"Cerastoderma edule";"Kola bay";"Pala";"PL";"Pala08";44
2006;"Cerastoderma edule";"Kola bay";"Pala";"PL";"Pala09";0
2006;"Cerastoderma edule";"Kola bay";"Pala";"PL";"Pala10";66
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ11";12
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ12";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ13";4
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ21";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ22";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ23";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ31";4
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ32";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ33";4
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ41";20
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ42";8
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ43";8
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ61";4
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ62";8
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ63";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ71";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ72";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ73";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ91";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ92";0
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ93";8
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ101";16
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ102";8
2006;"Cerastoderma edule";"East Murman";"DZ";"DZ";"DZ103";0
2006;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";1;8
2006;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";2;4
2006;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";3;4
2006;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";4;0
2006;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";5;4
2006;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";6;0
2006;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";7;12
2006;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";8;0
2006;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";9;0
2006;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";10;0
2006;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";11;4
2006;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";12;4
2006;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";13;0
2006;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";14;0
2006;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";15;0
2006;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";16;0
2007;"Cerastoderma edule";"Kola bay";"Pala";"PL";1;0
2007;"Cerastoderma edule";"Kola bay";"Pala";"PL";2;0
2007;"Cerastoderma edule";"Kola bay";"Pala";"PL";3;0
2007;"Cerastoderma edule";"Kola bay";"Pala";"PL";4;0
2007;"Cerastoderma edule";"Kola bay";"Pala";"PL";5;0
2007;"Cerastoderma edule";"Kola bay";"Pala";"PL";6;0
2007;"Cerastoderma edule";"Kola bay";"Pala";"PL";7;0
2007;"Cerastoderma edule";"Kola bay";"Pala";"PL";8;0
2007;"Cerastoderma edule";"Kola bay";"Pala";"PL";9;0
2007;"Cerastoderma edule";"Kola bay";"Pala";"PL";10;0
2007;"Cerastoderma edule";"Kola bay";"Pala";"PL";11;0
2007;"Cerastoderma edule";"Kola bay";"Pala";"PL";12;0
2007;"Cerastoderma edule";"Kola bay";"Pala";"PL";13;0
2007;"Cerastoderma edule";"Kola bay";"Pala";"PL";14;30
2007;"Cerastoderma edule";"Kola bay";"Pala";"PL";15;0
2007;"Cerastoderma edule";"Kola bay";"Pala";"PL";16;0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"1m1";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"1m2";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"1m3";30
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"2m1";90
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"2m2";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"2m3";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"3m1";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"3m2";30
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"3m3";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"4m1";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"4m2";30
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"4m3";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"5m1";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"5m2";30
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"5m3";30
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"6m1";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"6m2";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"6m3";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"7m1";30
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"7m2";30
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"7m3";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"8m1";30
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"8m2";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"8m3";30
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"9m1";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"9m2";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"9m3";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"10m1";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"10m2";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"10m3";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"11m1";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"11m2";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"11m3";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"12m1";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"12m2";0
2007;"Cerastoderma edule";"East Murman";"DZ";"DZ";"12m3";0
2007;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";"Por1";30
2007;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";"Por2";0
2007;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";"Por3";60
2007;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";"Por4";90
2007;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";"Por5";0
2007;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";"Por6";30
2007;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";"Por7";0
2007;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";"Por8";60
2007;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";"Por9";0
2007;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";"Por10";0
2007;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";"Por11";30
2007;"Cerastoderma edule";"East Murman";"Porchnikha";"PR";"Por12";0
