year;region;area;sample;square;N.sample
2002;East_Murman_Murman;DZ;II;10;0
2002;East_Murman;DZ;M-1;10;0
2002;East_Murman;DZ;M-2;10;0
2002;East_Murman;DZ;M-3;10;0
2002;East_Murman;DZ;M-4;10;0
2002;East_Murman;DZ;M-5;10;0
2002;East_Murman;DZ;VI;10;4
2002;East_Murman;DZ;M-17;10;2
2002;East_Murman;DZ;M-18;10;5
2002;East_Murman;DZ;M-19;10;2
2002;East_Murman;DZ;III;10;1
2002;East_Murman;DZ;M-13;10;3
2002;East_Murman;DZ;M-14;10;1
2002;East_Murman;DZ;M-15;10;2
2002;East_Murman;DZ;M-16;10;2
2002;East_Murman;DZ;IV;10;0
2002;East_Murman;DZ;M-23;10;NA
2002;East_Murman;DZ;M-24;10;NA
2002;East_Murman;DZ;M-25;10;NA
2002;East_Murman;DZ;VII;10;3
2002;East_Murman;DZ;M-20;10;NA
2002;East_Murman;DZ;M-21;10;NA
2002;East_Murman;DZ;M-22;10;NA
2002;East_Murman;DZ;I;10;0
2002;East_Murman;DZ;M-9;10;4
2002;East_Murman;DZ;M-10;10;6
2002;East_Murman;DZ;M-11;10;1
2002;East_Murman;DZ;VIII;10;0
2002;East_Murman;DZ;M-6;10;0
2002;East_Murman;DZ;M-7;10;0
2002;East_Murman;DZ;M-8;10;0
2003;East_Murman;DZ;II;10;1
2003;East_Murman;DZ;M-1;10;0
2003;East_Murman;DZ;M-2;10;1
2003;East_Murman;DZ;M-3;10;0
2003;East_Murman;DZ;M-4;10;0
2003;East_Murman;DZ;M-5;10;0
2003;East_Murman;DZ;VI;10;1
2003;East_Murman;DZ;M-17;10;0
2003;East_Murman;DZ;M-18;10;1
2003;East_Murman;DZ;M-19;10;0
2003;East_Murman;DZ;III;10;1
2003;East_Murman;DZ;M-13;10;1
2003;East_Murman;DZ;M-14;10;0
2003;East_Murman;DZ;M-15;10;1
2003;East_Murman;DZ;M-16;10;1
2003;East_Murman;DZ;IV;10;1
2003;East_Murman;DZ;M-23;10;0
2003;East_Murman;DZ;M-24;10;0
2003;East_Murman;DZ;M-25;10;1
2003;East_Murman;DZ;VII;10;0
2003;East_Murman;DZ;M-20;10;1
2003;East_Murman;DZ;M-21;10;0
2003;East_Murman;DZ;M-22;10;0
2003;East_Murman;DZ;I;10;1
2003;East_Murman;DZ;M-9;10;0
2003;East_Murman;DZ;M-10;10;3
2003;East_Murman;DZ;M-11;10;0
2003;East_Murman;DZ;VIII;10;0
2003;East_Murman;DZ;M-6;10;0
2003;East_Murman;DZ;M-7;10;0
2003;East_Murman;DZ;M-8;10;2
2004;East_Murman;DZ;II;10;0
2004;East_Murman;DZ;M-1;10;0
2004;East_Murman;DZ;M-2;10;0
2004;East_Murman;DZ;M-3;10;0
2004;East_Murman;DZ;M-4;10;0
2004;East_Murman;DZ;M-5;10;0
2004;East_Murman;DZ;VI;10;NA
2004;East_Murman;DZ;M-17;10;0
2004;East_Murman;DZ;M-18;10;2
2004;East_Murman;DZ;M-19;10;1
2004;East_Murman;DZ;III;10;1
2004;East_Murman;DZ;M-13;10;1
2004;East_Murman;DZ;M-14;10;0
2004;East_Murman;DZ;M-15;10;0
2004;East_Murman;DZ;M-16;10;1
2004;East_Murman;DZ;IV;10;NA
2004;East_Murman;DZ;M-23;10;3
2004;East_Murman;DZ;M-24;10;0
2004;East_Murman;DZ;M-25;10;0
2004;East_Murman;DZ;VII;10;NA
2004;East_Murman;DZ;M-20;10;0
2004;East_Murman;DZ;M-21;10;0
2004;East_Murman;DZ;M-22;10;1
2004;East_Murman;DZ;I;10;1
2004;East_Murman;DZ;M-9;10;0
2004;East_Murman;DZ;M-10;10;1
2004;East_Murman;DZ;M-11;10;1
2004;East_Murman;DZ;VIII;10;NA
2004;East_Murman;DZ;M-6;10;0
2004;East_Murman;DZ;M-7;10;0
2004;East_Murman;DZ;M-8;10;2
2005;East_Murman;DZ;II;10;0
2005;East_Murman;DZ;M-1;10;0
2005;East_Murman;DZ;M-2;10;0
2005;East_Murman;DZ;M-3;10;0
2005;East_Murman;DZ;M-4;10;0
2005;East_Murman;DZ;M-5;10;0
2005;East_Murman;DZ;VI;10;NA
2005;East_Murman;DZ;M-17;10;0
2005;East_Murman;DZ;M-18;10;0
2005;East_Murman;DZ;M-19;10;1
2005;East_Murman;DZ;III;10;1
2005;East_Murman;DZ;M-13;10;0
2005;East_Murman;DZ;M-14;10;1
2005;East_Murman;DZ;M-15;10;1
2005;East_Murman;DZ;M-16;10;1
2005;East_Murman;DZ;IV;10;NA
2005;East_Murman;DZ;M-23;10;0
2005;East_Murman;DZ;M-24;10;0
2005;East_Murman;DZ;M-25;10;0
2005;East_Murman;DZ;VII;10;NA
2005;East_Murman;DZ;M-20;10;0
2005;East_Murman;DZ;M-21;10;1
2005;East_Murman;DZ;M-22;10;0
2005;East_Murman;DZ;I;10;0
2005;East_Murman;DZ;M-9;10;0
2005;East_Murman;DZ;M-10;10;0
2005;East_Murman;DZ;M-11;10;0
2005;East_Murman;DZ;VIII;10;NA
2005;East_Murman;DZ;M-6;10;0
2005;East_Murman;DZ;M-7;10;0
2005;East_Murman;DZ;M-8;10;0
2006;East_Murman;DZ;II;10;0
2006;East_Murman;DZ;M-1;10;0
2006;East_Murman;DZ;M-2;10;0
2006;East_Murman;DZ;M-3;10;0
2006;East_Murman;DZ;M-4;10;0
2006;East_Murman;DZ;M-5;10;0
2006;East_Murman;DZ;VI;10;NA
2006;East_Murman;DZ;M-17;10;1
2006;East_Murman;DZ;M-18;10;3
2006;East_Murman;DZ;M-19;10;3
2006;East_Murman;DZ;III;10;2
2006;East_Murman;DZ;M-13;10;2
2006;East_Murman;DZ;M-14;10;3
2006;East_Murman;DZ;M-15;10;3
2006;East_Murman;DZ;M-16;10;3
2006;East_Murman;DZ;IV;10;NA
2006;East_Murman;DZ;M-23;10;1
2006;East_Murman;DZ;M-24;10;1
2006;East_Murman;DZ;M-25;10;1
2006;East_Murman;DZ;VII;10;NA
2006;East_Murman;DZ;M-20;10;0
2006;East_Murman;DZ;M-21;10;0
2006;East_Murman;DZ;M-22;10;0
2006;East_Murman;DZ;I;10;0
2006;East_Murman;DZ;M-9;10;0
2006;East_Murman;DZ;M-10;10;0
2006;East_Murman;DZ;M-11;10;0
2006;East_Murman;DZ;VIII;10;NA
2006;East_Murman;DZ;M-6;10;0
2006;East_Murman;DZ;M-7;10;0
2006;East_Murman;DZ;M-8;10;0
2004;East_Murman;Yarnyshnaya;Ya101;10;0
2004;East_Murman;Yarnyshnaya;Ya102;10;0
2004;East_Murman;Yarnyshnaya;Ya103;10;0
2004;East_Murman;Yarnyshnaya;Ya104;10;1
2004;East_Murman;Yarnyshnaya;Ya105;10;0
2004;East_Murman;Yarnyshnaya;Ya106;10;0
2004;East_Murman;Yarnyshnaya;Ya107;10;0
2004;East_Murman;Yarnyshnaya;Ya108;10;0
2004;East_Murman;Yarnyshnaya;Ya109;10;0
2004;East_Murman;Yarnyshnaya;Ya110;10;1
2004;East_Murman;Yarnyshnaya;Ya201;10;0
2004;East_Murman;Yarnyshnaya;Ya202;10;0
2004;East_Murman;Yarnyshnaya;Ya203;10;2
2004;East_Murman;Yarnyshnaya;Ya204;10;0
2004;East_Murman;Yarnyshnaya;Ya205;10;1
2004;East_Murman;Yarnyshnaya;Ya206;10;2
2004;East_Murman;Yarnyshnaya;Ya207;10;1
2004;East_Murman;Yarnyshnaya;Ya208;10;1
2004;East_Murman;Yarnyshnaya;Ya209;10;1
2004;East_Murman;Yarnyshnaya;Ya210;10;1
2004;East_Murman;Yarnyshnaya;Ya301;10;0
2004;East_Murman;Yarnyshnaya;Ya302;10;1
2004;East_Murman;Yarnyshnaya;Ya303;10;3
2004;East_Murman;Yarnyshnaya;Ya304;10;1
2004;East_Murman;Yarnyshnaya;Ya305;10;1
2004;East_Murman;Yarnyshnaya;Ya306;10;2
2004;East_Murman;Yarnyshnaya;Ya307;10;2
2004;East_Murman;Yarnyshnaya;Ya308;10;1
2004;East_Murman;Yarnyshnaya;Ya309;10;0
2004;East_Murman;Yarnyshnaya;Ya310;10;1
2005;East_Murman;Yarnyshnaya;Ya01;10;10
2005;East_Murman;Yarnyshnaya;Ya02;10;0
2005;East_Murman;Yarnyshnaya;Ya03;10;0
2005;East_Murman;Yarnyshnaya;Ya04;10;0
2005;East_Murman;Yarnyshnaya;Ya05;10;0
2005;East_Murman;Yarnyshnaya;Ya06;10;0
2005;East_Murman;Yarnyshnaya;Ya07;10;0
2005;East_Murman;Yarnyshnaya;Ya08;10;0
2005;East_Murman;Yarnyshnaya;Ya09;10;0
2005;East_Murman;Yarnyshnaya;Ya10;10;0
2005;East_Murman;Shelpino;Sh01;10;0
2005;East_Murman;Shelpino;Sh02;10;0
2005;East_Murman;Shelpino;Sh03;10;0
2005;East_Murman;Shelpino;Sh04;10;0
2005;East_Murman;Shelpino;Sh05;10;0
2005;East_Murman;Shelpino;Sh06;10;0
2005;East_Murman;Shelpino;Sh07;10;0
2005;East_Murman;Shelpino;Sh08;10;0
2005;East_Murman;Shelpino;Sh09;10;1
2005;East_Murman;Shelpino;Sh10;10;0
2006;Kola_bay;Pala;Pala01;22;0
2006;Kola_bay;Pala;Pala02;22;4
2006;Kola_bay;Pala;Pala03;22;2
2006;Kola_bay;Pala;Pala04;22;3
2006;Kola_bay;Pala;Pala05;22;8
2006;Kola_bay;Pala;Pala06;22;5
2006;Kola_bay;Pala;Pala07;22;3
2006;Kola_bay;Pala;Pala08;22;2
2006;Kola_bay;Pala;Pala09;22;0
2006;Kola_bay;Pala;Pala10;22;3
2006;East_Murman;DZ;DZ11;4;3
2006;East_Murman;DZ;DZ12;4;0
2006;East_Murman;DZ;DZ13;4;1
2006;East_Murman;DZ;DZ21;4;0
2006;East_Murman;DZ;DZ22;4;0
2006;East_Murman;DZ;DZ23;4;0
2006;East_Murman;DZ;DZ31;4;1
2006;East_Murman;DZ;DZ32;4;0
2006;East_Murman;DZ;DZ33;4;1
2006;East_Murman;DZ;DZ41;4;5
2006;East_Murman;DZ;DZ42;4;2
2006;East_Murman;DZ;DZ43;4;2
2006;East_Murman;DZ;DZ61;4;1
2006;East_Murman;DZ;DZ62;4;2
2006;East_Murman;DZ;DZ63;4;0
2006;East_Murman;DZ;DZ71;4;0
2006;East_Murman;DZ;DZ72;4;0
2006;East_Murman;DZ;DZ73;4;0
2006;East_Murman;DZ;DZ91;4;0
2006;East_Murman;DZ;DZ92;4;0
2006;East_Murman;DZ;DZ93;4;2
2006;East_Murman;DZ;DZ101;4;4
2006;East_Murman;DZ;DZ102;4;2
2006;East_Murman;DZ;DZ103;4;0
2006;East_Murman;Porchnikha;1;4;2
2006;East_Murman;Porchnikha;2;4;1
2006;East_Murman;Porchnikha;3;4;1
2006;East_Murman;Porchnikha;4;4;0
2006;East_Murman;Porchnikha;5;4;1
2006;East_Murman;Porchnikha;6;4;0
2006;East_Murman;Porchnikha;7;4;3
2006;East_Murman;Porchnikha;8;4;0
2006;East_Murman;Porchnikha;9;4;0
2006;East_Murman;Porchnikha;10;4;0
2006;East_Murman;Porchnikha;11;4;1
2006;East_Murman;Porchnikha;12;4;1
2006;East_Murman;Porchnikha;13;4;0
2006;East_Murman;Porchnikha;14;4;0
2006;East_Murman;Porchnikha;15;4;0
2006;East_Murman;Porchnikha;16;4;0
2007;Kola_bay;Pala;1;30;0
2007;Kola_bay;Pala;2;30;0
2007;Kola_bay;Pala;3;30;0
2007;Kola_bay;Pala;4;30;0
2007;Kola_bay;Pala;5;30;0
2007;Kola_bay;Pala;6;30;0
2007;Kola_bay;Pala;7;30;0
2007;Kola_bay;Pala;8;30;0
2007;Kola_bay;Pala;9;30;0
2007;Kola_bay;Pala;10;30;0
2007;Kola_bay;Pala;11;30;0
2007;Kola_bay;Pala;12;30;0
2007;Kola_bay;Pala;13;30;0
2007;Kola_bay;Pala;14;30;1
2007;Kola_bay;Pala;15;30;0
2007;Kola_bay;Pala;16;30;0
2007;East_Murman;DZ;1m1;30;0
2007;East_Murman;DZ;1m2;30;0
2007;East_Murman;DZ;1m3;30;1
2007;East_Murman;DZ;2m1;30;3
2007;East_Murman;DZ;2m2;30;0
2007;East_Murman;DZ;2m3;30;0
2007;East_Murman;DZ;3m1;30;0
2007;East_Murman;DZ;3m2;30;1
2007;East_Murman;DZ;3m3;30;0
2007;East_Murman;DZ;4m1;30;0
2007;East_Murman;DZ;4m2;30;1
2007;East_Murman;DZ;4m3;30;0
2007;East_Murman;DZ;5m1;30;0
2007;East_Murman;DZ;5m2;30;1
2007;East_Murman;DZ;5m3;30;1
2007;East_Murman;DZ;6m1;30;0
2007;East_Murman;DZ;6m2;30;0
2007;East_Murman;DZ;6m3;30;0
2007;East_Murman;DZ;7m1;30;1
2007;East_Murman;DZ;7m2;30;1
2007;East_Murman;DZ;7m3;30;0
2007;East_Murman;DZ;8m1;30;1
2007;East_Murman;DZ;8m2;30;0
2007;East_Murman;DZ;8m3;30;1
2007;East_Murman;DZ;9m1;30;0
2007;East_Murman;DZ;9m2;30;0
2007;East_Murman;DZ;9m3;30;0
2007;East_Murman;DZ;10m1;30;0
2007;East_Murman;DZ;10m2;30;0
2007;East_Murman;DZ;10m3;30;0
2007;East_Murman;DZ;11m1;30;0
2007;East_Murman;DZ;11m2;30;0
2007;East_Murman;DZ;11m3;30;0
2007;East_Murman;DZ;12m1;30;0
2007;East_Murman;DZ;12m2;30;0
2007;East_Murman;DZ;12m3;30;0
2007;East_Murman;Porchnikha;Por1;30;1
2007;East_Murman;Porchnikha;Por2;30;0
2007;East_Murman;Porchnikha;Por3;30;2
2007;East_Murman;Porchnikha;Por4;30;3
2007;East_Murman;Porchnikha;Por5;30;0
2007;East_Murman;Porchnikha;Por6;30;1
2007;East_Murman;Porchnikha;Por7;30;0
2007;East_Murman;Porchnikha;Por8;30;2
2007;East_Murman;Porchnikha;Por9;30;0
2007;East_Murman;Porchnikha;Por10;30;0
2007;East_Murman;Porchnikha;Por11;30;1
2007;East_Murman;Porchnikha;Por12;30;0
2007;East_Murman;Porchnikha;Por13;30;0
2007;East_Murman;Porchnikha;Por14;30;1
2007;East_Murman;Porchnikha;Por15;30;0
2007;East_Murman;Porchnikha;Por16;30;0
2007;East_Murman;Porchnikha;Por17;30;1
2007;East_Murman;Porchnikha;Por18;30;1
2007;East_Murman;Porchnikha;Por19;30;0
2007;East_Murman;Porchnikha;Por20;30;0
2007;East_Murman;Porchnikha;Por21;30;0
2007;East_Murman;Porchnikha;Por22;30;0
2007;East_Murman;Porchnikha;Por23;30;0
2007;East_Murman;Porchnikha;Por24;30;0
2007;East_Murman;Porchnikha;Por25;30;1
2007;East_Murman;Porchnikha;Por26;30;0
2007;East_Murman;Porchnikha;Por27;30;0
2007;East_Murman;Porchnikha;Por28;30;0
2007;East_Murman;Porchnikha;Por29;30;0
2007;East_Murman;Porchnikha;Por30;30;0
2007;East_Murman;Porchnikha;Por31;30;1
2007;East_Murman;Porchnikha;Por32;30;0
2007;East_Murman;Yarnyshnaya;13m1;30;0
2007;East_Murman;Yarnyshnaya;13m2;30;0
2007;East_Murman;Yarnyshnaya;13m3;30;0
2007;East_Murman;Yarnyshnaya;14m1;30;0
2007;East_Murman;Yarnyshnaya;14m2;30;1
2007;East_Murman;Yarnyshnaya;14m3;30;0
2007;East_Murman;Yarnyshnaya;15m1;30;1
2007;East_Murman;Yarnyshnaya;15m2;30;0
2007;East_Murman;Yarnyshnaya;15m3;30;0
2007;East_Murman;Yarnyshnaya;16m1;30;0
2007;East_Murman;Yarnyshnaya;16m2;30;0
2007;East_Murman;Yarnyshnaya;16m3;30;0
2007;East_Murman;Yarnyshnaya;17m1;30;0
2007;East_Murman;Yarnyshnaya;17m2;30;0
2007;East_Murman;Yarnyshnaya;17m3;30;0
2007;East_Murman;Yarnyshnaya;18m1;30;0
2007;East_Murman;Yarnyshnaya;18m2;30;0
2007;East_Murman;Yarnyshnaya;18m3;30;1
2007;East_Murman;Yarnyshnaya;19m1;30;0
2007;East_Murman;Yarnyshnaya;19m2;30;0
2007;East_Murman;Yarnyshnaya;19m3;30;0
2007;East_Murman;Yarnyshnaya;20m1;30;0
2007;East_Murman;Yarnyshnaya;20m2;30;0
2007;East_Murman;Yarnyshnaya;20m3;30;0
2007;East_Murman;Yarnyshnaya;21m1;30;0
2007;East_Murman;Yarnyshnaya;21m2;30;0
2007;East_Murman;Yarnyshnaya;21m3;30;0
2007;East_Murman;Yarnyshnaya;22m1;30;0
2007;East_Murman;Yarnyshnaya;22m2;30;0
2007;East_Murman;Yarnyshnaya;22m3;30;1
2007;East_Murman;Yarnyshnaya;23m1;30;0
2007;East_Murman;Yarnyshnaya;23m2;30;0
2007;East_Murman;Yarnyshnaya;23m3;30;0
2007;East_Murman;Yarnyshnaya;24m1;30;0
2007;East_Murman;Yarnyshnaya;24m2;30;0
2007;East_Murman;Yarnyshnaya;24m3;30;1
2008;East_Murman;DZ;1m1;30;0
2008;East_Murman;DZ;1m2;30;0
2008;East_Murman;DZ;1m3;30;0
2008;East_Murman;DZ;2m1;30;0
2008;East_Murman;DZ;2m2;30;0
2008;East_Murman;DZ;2m3;30;0
2008;East_Murman;DZ;3m1;30;0
2008;East_Murman;DZ;3m2;30;0
2008;East_Murman;DZ;3m3;30;1
2008;East_Murman;DZ;4m1;30;0
2008;East_Murman;DZ;4m2;30;1
2008;East_Murman;DZ;4m3;30;0
2008;East_Murman;DZ;5m1;30;1
2008;East_Murman;DZ;5m2;30;0
2008;East_Murman;DZ;5m3;30;0
2008;East_Murman;DZ;6m1;30;2
2008;East_Murman;DZ;6m2;30;1
2008;East_Murman;DZ;6m3;30;1
2008;East_Murman;DZ;7m1;30;0
2008;East_Murman;DZ;7m2;30;0
2008;East_Murman;DZ;7m3;30;0
2008;East_Murman;DZ;8m1;30;0
2008;East_Murman;DZ;8m2;30;0
2008;East_Murman;DZ;8m3;30;1
2008;East_Murman;DZ;9m1;30;0
2008;East_Murman;DZ;9m2;30;0
2008;East_Murman;DZ;9m3;30;0
2008;East_Murman;DZ;10m1;30;0
2008;East_Murman;DZ;10m2;30;0
2008;East_Murman;DZ;10m3;30;0
2008;East_Murman;DZ;11m1;30;0
2008;East_Murman;DZ;11m2;30;0
2008;East_Murman;DZ;11m3;30;0
2008;East_Murman;DZ;12m1;30;0
2008;East_Murman;DZ;12m2;30;0
2008;East_Murman;DZ;12m3;30;0
2008;East_Murman;DZ;13m1;30;0
2008;East_Murman;DZ;13m2;30;0
2008;East_Murman;DZ;13m3;30;0
2008;East_Murman;DZ;14m1;30;0
2008;East_Murman;DZ;14m2;30;0
2008;East_Murman;DZ;14m3;30;0
2008;East_Murman;DZ;15m1;30;0
2008;East_Murman;DZ;15m2;30;0
2008;East_Murman;DZ;15m3;30;0
2008;East_Murman;DZ;16m1;30;0
2008;East_Murman;DZ;16m2;30;0
2008;East_Murman;DZ;16m3;30;1
2008;East_Murman;DZ;17m1;30;0
2008;East_Murman;DZ;17m2;30;0
2008;East_Murman;DZ;17m3;30;0
2008;East_Murman;DZ;18m1;30;0
2008;East_Murman;DZ;18m2;30;0
2008;East_Murman;DZ;18m3;30;0
2008;East_Murman;DZ;19m1;30;0
2008;East_Murman;DZ;19m2;30;0
2008;East_Murman;DZ;19m3;30;0
2008;East_Murman;DZ;20m1;30;0
2008;East_Murman;DZ;20m2;30;0
2008;East_Murman;DZ;20m3;30;0
2008;East_Murman;DZ;21m1;30;0
2008;East_Murman;DZ;21m2;30;0
2008;East_Murman;DZ;21m3;30;0
2008;East_Murman;DZ;22m1;30;0
2008;East_Murman;DZ;22m2;30;0
2008;East_Murman;DZ;22m3;30;0
2008;East_Murman;DZ;23m1;30;0
2008;East_Murman;DZ;23m2;30;0
2008;East_Murman;DZ;23m3;30;0
2008;East_Murman;DZ;24m1;30;0
2008;East_Murman;DZ;24m2;30;0
2008;East_Murman;DZ;24m3;30;0
2008;East_Murman;Tryazhina;1;30;1
2008;East_Murman;Tryazhina;2;30;1
2008;East_Murman;Tryazhina;3;30;1
2008;East_Murman;Tryazhina;4;30;0
2008;East_Murman;Tryazhina;5;30;0
2008;East_Murman;Tryazhina;6;30;0
2008;East_Murman;Tryazhina;7;30;0
2008;East_Murman;Tryazhina;8;30;0
2008;East_Murman;Tryazhina;9;30;0
2008;East_Murman;Tryazhina;10;30;0
2008;East_Murman;Shelpino;1;10;2
2008;East_Murman;Shelpino;2;10;0
2008;East_Murman;Shelpino;3;10;0
2008;East_Murman;Shelpino;4;10;0
2008;East_Murman;Shelpino;5;10;0
2008;East_Murman;Shelpino;6;10;0
2008;East_Murman;Shelpino;7;10;0
2008;East_Murman;Shelpino;8;10;0
2008;East_Murman;Shelpino;9;10;0
2008;East_Murman;Shelpino;10;10;0
2008;East_Murman;Yarnyshnaya;M-Ya1;30;0
2008;East_Murman;Yarnyshnaya;M-Ya2;30;0
2008;East_Murman;Yarnyshnaya;M-Ya3;30;0
2008;East_Murman;Yarnyshnaya;M-Ya4;30;0
2008;East_Murman;Yarnyshnaya;M-Ya5;30;0
2008;East_Murman;Yarnyshnaya;M-Ya6;30;0
2008;East_Murman;Yarnyshnaya;M-Ya7;30;1
2008;East_Murman;Yarnyshnaya;M-Ya8;30;1
2008;East_Murman;Yarnyshnaya;M-Ya9;30;2
2008;East_Murman;Yarnyshnaya;M-Ya10;30;0
2009;East_Murman;DZ;П IIIc 1;30;0
2009;East_Murman;DZ;П IIIc 2;30;1
2009;East_Murman;DZ;П IIIc 3;30;0
2009;East_Murman;DZ;П IIc 1;30;1
2009;East_Murman;DZ;П IIc 2;30;0
2009;East_Murman;DZ;П IIc 3;30;0
2009;East_Murman;DZ;П Ic 1;30;0
2009;East_Murman;DZ;П Ic 2;30;1
2009;East_Murman;DZ;П Ic 3;30;1
2009;East_Murman;DZ;P 1;30;1
2009;East_Murman;DZ;P 2;30;1
2009;East_Murman;DZ;P 3;30;2
2009;East_Murman;DZ;Л Ic 1;30;2
2009;East_Murman;DZ;Л Ic 2;30;1
2009;East_Murman;DZ;Л Ic 3;30;1
2009;East_Murman;DZ;Л IIc 1;30;0
2009;East_Murman;DZ;Л IIc 2;30;1
2009;East_Murman;DZ;Л IIc 3;30;0
2009;East_Murman;DZ;Л IIIc 1;30;1
2009;East_Murman;DZ;Л IIIc 2;30;0
2009;East_Murman;DZ;Л IIIc 3;30;0
